Player,Games,RecTD,RshTD,TotalTouchdowns
Chris Johnson,135.0,7.0,41.0,48.0
Chris Kelsay,23.0,0.0,0.0,0.0
Chris Long,16.0,0.0,0.0,0.0
Chris Moore,72.0,8.0,0.0,8.0
Chris Ogbonnaya,36.0,2.0,2.0,4.0
Chris Owusu,8.0,1.0,1.0,2.0
Chris Perry,27.0,2.0,2.0,4.0
Chris Polk,44.0,1.0,8.0,9.0
Chris Rainey,16.0,0.0,2.0,2.0
Chris Simms,3.0,0.0,1.0,1.0
Chris Taylor,4.0,0.0,1.0,1.0
Chris Warren,162.0,5.0,52.0,57.0
Chris Weinke,15.0,0.0,6.0,6.0
Chris Williams,7.0,0.0,0.0,0.0
Christian Kirk,73.0,25.0,0.0,25.0
Christian McCaffrey,59.0,18.0,23.0,41.0
Christian Ponder,27.0,0.0,7.0,7.0
Christine Michael,15.0,1.0,7.0,8.0
Chuck Clark,32.0,0.0,0.0,0.0
Ciatrick Fason,18.0,0.0,5.0,5.0
Clarence Moore,25.0,5.0,0.0,5.0
Clay Harbor,83.0,8.0,0.0,8.0
Clay Matthews,59.0,0.0,0.0,0.0
Cleo Lemon,9.0,0.0,4.0,4.0
Cliff Avril,16.0,0.0,0.0,0.0
Cliff Harris,14.0,0.0,0.0,0.0
Clifton Smith,9.0,0.0,0.0,0.0
Clint Ingram,13.0,0.0,0.0,0.0
Clinton Portis,113.0,5.0,75.0,80.0
Clive Walford,31.0,6.0,0.0,6.0
Cobi Hamilton,11.0,2.0,0.0,2.0
Coby Fleener,87.0,22.0,1.0,23.0
Cody Core,14.0,1.0,0.0,1.0
Cody Grimm,11.0,0.0,0.0,0.0
Cody Latimer,46.0,6.0,0.0,6.0
Colby Bockwoldt,16.0,0.0,0.0,0.0
Colin Kaepernick,66.0,0.0,13.0,13.0
Colin McCarthy,7.0,0.0,0.0,0.0
Colt McCoy,13.0,0.0,2.0,2.0
Connor Barwin,16.0,0.0,0.0,0.0
Conor McDermott,6.0,1.0,0.0,1.0
Cooper Carlisle,16.0,1.0,0.0,1.0
Cooper Kupp,63.0,30.0,1.0,31.0
Cordarrelle Patterson,92.0,9.0,18.0,27.0
Corey Clement,68.0,3.0,8.0,11.0
Corey Coleman,19.0,5.0,0.0,5.0
Corey Davis,67.0,17.0,0.0,17.0
Corey Fuller,48.0,1.0,0.0,1.0
Corey Graham,29.0,0.0,0.0,0.0
Corey Lemonier,16.0,0.0,0.0,0.0
Corey Liuget,16.0,0.0,0.0,0.0
Corey Peters,30.0,0.0,0.0,0.0
Corey Webster,14.0,0.0,0.0,0.0
Corey Wootton,16.0,0.0,0.0,0.0
Correll Buckhalter,103.0,6.0,21.0,27.0
Cortez Allen,14.0,0.0,0.0,0.0
Cory Harkey,31.0,3.0,0.0,3.0
Cory Littleton,16.0,0.0,0.0,0.0
Cory Redding,43.0,0.0,0.0,0.0
Cory Ross,6.0,0.0,1.0,1.0
Coty Sensabaugh,16.0,0.0,0.0,0.0
Courtland Sutton,64.0,14.0,0.0,14.0
Courtney Anderson,39.0,6.0,0.0,6.0
Courtney Brown,5.0,0.0,0.0,0.0
Courtney Roby,41.0,1.0,0.0,1.0
Craig Krenzel,6.0,0.0,0.0,0.0
Craig Stevens,61.0,6.0,0.0,6.0
Craig Terrill,16.0,0.0,0.0,0.0
Craphonso Thorpe,5.0,1.0,0.0,1.0
Crockett Gillmore,32.0,6.0,0.0,6.0
Curtis Brown,69.0,5.0,9.0,14.0
Curtis DeLoatch,7.0,0.0,0.0,0.0
Curtis Johnson,28.0,0.0,0.0,0.0
Curtis Lofton,16.0,0.0,0.0,0.0
Curtis Samuel,61.0,18.0,6.0,24.0
Cyrus Gray,9.0,0.0,1.0,1.0
Cyrus Jones,13.0,0.0,0.0,0.0
D'Onta Foreman,43.0,2.0,10.0,12.0
D'Qwell Jackson,48.0,0.0,0.0,0.0
D.D. Lewis,14.0,0.0,0.0,0.0
D.J. Hackett,33.0,9.0,0.0,9.0
D.J. Hayden,16.0,0.0,0.0,0.0
D.J. Johnson,16.0,0.0,0.0,0.0
D.J. Reed,16.0,0.0,0.0,0.0
